rank	city	population_2000	lat	lon
1	Dakar	2613700	14.720	-17.480
2	Thies	307400	14.810	-16.930
3	Kaolack	275500	14.150	-16.100
4	Ziguinchor	244000	12.590	-16.290
5	Mbour	174900	14.430	-16.970
6	Saint-louis	171300	16.030	-16.490
7	Diourbel	123600	14.660	-16.240
8	Louga	102800	15.610	-16.250
9	Richard toll	82200	16.470	-15.690
10	Tambacounda	79200	13.780	-13.680
11	Mbacke	74100	14.800	-15.920
12	Kolda	72400	12.910	-14.950
13	Tivaouane	51200	14.970	-16.830
14	Fatick	46600	14.350	-16.420
15	Bignona	41900	12.830	-16.240
16	Joal-fadiouth	37000	14.180	-16.850
17	Kaffrine	31300	14.110	-15.560
18	Bambey	30900	14.710	-16.460
19	Pout	29400	14.770	-17.070
20	Dagana	29000	16.510	-15.500
21	Kayar	28500	14.930	-17.130
22	Velingara	25800	13.150	-14.110
23	Nioro	20800	13.760	-15.790
24	Sedhiou	20600	12.720	-15.590
25	Mekhe	19500	15.130	-16.630
26	Kebemer	18100	15.370	-16.450
27	Dahra	16900	15.350	-15.490
28	Medina	16800	13.610	-15.590
29	Kedougou	16400	12.560	-12.180
30	Guinguineo	15500	14.280	-15.960
31	Koungheul	14700	13.980	-14.820
32	Sokone	14700	13.880	-16.390
33	Khombole	14600	14.760	-16.700
34	Medina gounas	14100	13.140	-13.770
35	Wassadou	14000	12.750	-14.170
36	Touba	13400	14.870	-15.900
37	Matam	12400	15.600	-13.320
38	Linguere	11300	15.400	-15.120
39	Waounde	11300	15.270	-12.870
40	Gossas	10700	14.500	-16.080
41	Bakel	10400	14.910	-12.460
42	Goudomp	10000	12.540	-15.950
43	Dabo	9800	12.890	-14.490
44	Toubakouta	9800	13.790	-16.490
45	Ourossogui	9600	15.600	-13.320
46	Marsassoum	9000	12.830	-15.980
47	Ndoffane	8800	13.920	-15.930
48	Thionck-essyl	8000	12.780	-16.520
49	Thiadiaye	7800	14.420	-16.700
50	Podor	7600	16.660	-14.970
51	Oussouye	6900	12.500	-16.550
52	Diofior	6700	14.190	-16.670
53	Gandiaye	6500	14.230	-16.270
54	Nguekhokh	6200	14.510	-17.010
55	Kanel	5600	15.490	-13.170
56	Ndioum	5400	16.510	-14.650
57	Thilogne	5200	15.970	-13.600
58	Foundiougne	4700	14.120	-16.480
59	Passi	4700	13.980	-16.270
60	Semme	3800	15.200	-12.950
61	Kahone	2900	14.150	-16.020
62	Gollere	2800	16.260	-14.100
